,0
82,"Staff are absolutely untrained, don’t know what is the single or double spirit measurements ( paying for them 13.5% service charge? 🤦🏼‍♂️🤷🏼‍♂️)
Same dishes are not even , same steaks with less garnish (2 tomatoes and 4). Nice view though, obviously. Spelt my drinks twice...More"
83,I have told my children that a restaurant that provides warm bread is a good restaurant - unfortunately I was surprised that they actually charged for the bread!  Attended during lunch - which made the meal more affordable. A good restaurant.
84,Must Make a reservation!  Have a cocktail and enjoy seeing the sunset and seeing the city lights.  This place is beautiful in the inside and the view out the wall to ceiling windows is worth the pricey cocktails
85,"One of the nicest dinning experiences in a long time. The food served was not only perfectly presented, but the flavours were incredible! Hats off to the chefs! I recommend the new potato’s and the lamb (photos attached). The portions look small however the flavour...More"
86,"Have been to Aqua Shard a few times before dining in the Hutong. Decided on taking some friends who were visiting London, for the experience of the Shard. The venue itself is always impressive but that's where it ended this time around. Aqua Shard -...More"
87,"There was dreadful service, nobody explained what was included in our lunch menu, we had to ask 3 times! Then when we did understand it was too late and had already ordered something which was not included in our 'experience'. It also was not made...More"
88,"The afternoon tea was wonderful; very much an experience.  
The service started very well but deteriorated very quickly following the food being delivered to the table.  Staff seemed to reduce significantly leaving only 2-3 staff members to manage the diners. We had to ask several...More"
89,We visited on the hottest day of the year but the air con inside was very welcomed! We had an earlier sitting of 12.15 and I would recommend this as when we arrived the restaurant was very quiet and we were offered a window seat!...More
90,"No one can dispute the location and views are great here. Even the service is good but the food was disappointing, small portions and just not a great standard."
91,"I visited the Aqua Shard to celebrate my friend’s birthday with a themed Peter Pan afternoon tea. There were three members of my party, myself, my daughter and the birthday lady herself.

Upon our arrival we purchased three Cosmotropical cocktails. We were looking forward to...More"
92,"We booked a table at Aqua Shard more lunch to celebrate a birthday. Window seating is not promised, slightly disappointed that despite booking months in advance we weren’t able to secure a window table. We were seated 3rd line back. 

We ordered from the set...More"
93,"When ever we are in Cambridge we visit our favourite Italian restaurant, it was for lunch and we decided to spoil our self , lobster with with paste , white wine. and it was perfidy sunny day , the food was fantastic and service Ala...More"
94,"Their cocktails are lovely, perfect for a special occasion or if you were looking to go somewhere classy. We went at lunch time so was quiet then which was even better."
95,"Booked as a birthday meal.
Pros: food was perfect.  I like my beef fillet medium but no blood and the chef cooked it perfectly, it was melt in the mouth.  Service was good to start but was lacking when the restaurant started to fill up....More"
96,"I treated my sister to the peterpan afternoon tea here recently, we was well looked after at the beginning.....show to the table, got some water, asked if we wanted any drinks so we got the mocktail and cocktail on the Peter pan menu, both were...More"
97,We visited aqua shard for an afternoon tea experience all the way from Qatar. The views were amazing but the Peter Pan tea was so disappointing. The tables were small and there was space for anything. Our bags and jackets has to be put on...More
98,I took my family to Aqua Shard for a special event. The views are fantastic but the food was not that special and the table service extremely poor. The person serving us ignored most of our attempts to attract attention. We wouldn't go back.
99,Food was so-so. Service was laggy and late to come. Staff seemed overworked and showed lack of interest. The only saving grace was the view.
100,"Very slow service, overpriced drinks for a restricted view. Food didn’t come on time, and we were rushed to leave. There are other roof top bars that offer better drinks - no need to come to the shard."
101,"We invited / guests to lunch on a Saturday, as that was their day off. If you are staying in hotel, you can only choose food from 2.30 pm from the room menu. No proper lunch menu in restaurant. Alternatively you can choose to eat...More"
102,"On Sunday 10th July my Husband, Daughter and I visited the Aqua Shard restaurant for brunch. I had booked a table back in June as a surprise for my Husband's birthday for date mentioned. We had arrived early and w were seated in the waiting...More"
103,"Such an amazing and unique experience. Beautiful food and beautifully presented. The lady that looked after us, Annabelle, also made this experience amazing. She was friendly and we didn't have to wait for anything. Thank you all so much ❤️"
104,"Having been for a drink upstairs at Hutong and been incredibly underwhelmed we decided to head for the more popular Aqua Shard. Aside from a very rude security man trying to stop us going down the stairs to get there, the overall experience was wonderful!...More"
105,"Me and my wife booked a table on sevenrooms to celebrate our wedding anniversary and her birthday. Unfortunately, the host removed us to receive the feedback for our experience so I will tell you here:

At 8:40pm we arrived at Aqua Shard. We were asked...More"
106,"We dropped in for cocktails on Tuesday evening, it has been a couple of years since my last visit, and how standards have dropped.
The whole place looked grubby and sticky.
The chairs were filthy.
The serving staff lazy and disinterested.
The cocktails disappointing, and...More"
107,"Waited a long time to visit the Shard and was really looking forward to a nice lunch with friends. How disappointing was the experience?. The location and  the views over London were spectacular, our table was right next the window. From then on it went...More"
108,"To celebrate our friend's birthday, the 3 of us came to the Aqua Shard to celebrate with the Peter Pan Afternoon Tea.
There was a queue to enter the building but that is understandable in order to control the numbers as you have to go...More"
109,"We had dinner  at Shard building in an awesome scenario, nice environment and price was suitable and affordable."
110,"The brunch menu was very average and the service was dire. We felt an irritation to our waiting staff. The food was good, but the blue cheese wasn't blue. All round something of a disappointing experience. I won't be recommending it"
111,We went to Tea...family with teens loved it - great view - and great service. We were concerned about dress code - but saw everything from fancy to runners.
112,"We arrived for brunch at 1200. Fantastic views of London, staff very friendly, food was exceptional! Bit pricey but to be expected"
113,"Well , the view was good. Until the sun sets it is right in your eyes, I wore my sunglasses so I could see the people across the table from me. The place was ""bumping"" with ridiculous electronic music that made no sense. It was...More"
114,Came for Peter pans afternoon tea. 6 friends for a 60th birthday. We were sat at a table that was overcrowded and really should have less seats due to size of table. 2 cups were dirty and had to be returned. 4 glasses were dirty...More
115,My boyfriend and I celebrated our three years together here last night and would like to commend the staff for their wonderful service. We started our evening on a table by the window with a stunning view of the city in front of us and...More
116,"Some may call it a tourist trap, the food was less than OK, the wine pairing was very bad, the view wasn't any good (we didn't get a table beside the window, and even if we did, not worth it)"
117,Rosalia was amazing! So was the food & views! Highly recommend to everyone considering to go.🥰🥰🥰🥰
118,Our experience was great no queues very well organised you have a time slot when you book ours was 12.30 till 2pm. In that time we were greeted seated served drinks order taken had a 3 course meal followed by coffee and all within the...More
119,"Thoroughly enjoyed the Peter Pans afternoon tea - lovely food and desserts all served by the very pleasant Luca - he explained everything to us and nothing was too much trouble 
Highly recommend"
120,"I think i will start my review on the negatives and finish with the highlights!

First of all, it is very, very expensive indeed and the restaurant is not up to any standard to match that price. If you look about, it needs a good...More"
121,"Beautiful view and very good service. Highly recommended. Very expensive, but London is! Excellent for a special occasion. Great bar and great food!! Loved it."
122,"Hard to say very much positive here. Booked for our wedding night. I  have limited ability so was shown in by back elevator, made way through boxes and coats trip hazard everywhere, shown to table in centre in pitch black. Then waited 30 mins for...More"
123,"We went for dinner for our 18th anniversary. Whilst the location is absolutely spectacular, the restaurant itself is underwhelming at best. I tried to order their signature cocktail to be told they were “out”. It’s a pre mix and they had had a busy night...More"
124,Last year at this time it was a wonderful experience. This past Friday night it sucked. The service was terrible for the amount of employees they had standing around. The bread came after the appetizers and that was after several request. I ordered a beer...More
125,We had a table pre booked for drinks on a Saturday night.  The staff that greet you downstairs were lovely and very friendly.  When arriving at the bar we were shown to our table.  The bar is really nice.  The waitress asked when taking our...More
126,"We went to celebrate our 15th wedding anniversary and opted for the Saturday brunch.  It was, by far, the best experience we have had in a long time.

We arrived early by 20 mins, as we had been walking along the Southbank and I desperately...More"
127,"This is our second - and last - visit to the Aqua Shard for brunch.  The first visit during the Covid pandemic was excellent.  This visit was the exact opposite.
The disappointment stared on arrival at the restaurant with the ""bouncer"" at the top of...More"
128,"A very relaxing and tasty experience.  Great service from Marlon.  

Great gluten free options all of which were enjoyable.

The welcome tea was amazing!

Make sure you ask for a window seat in order to get the best views of London."
129,"Terrible service, waitress and staff had no personality, rude and arrogant. Your rushed in, quickly, and it’s all about getting you, spending the money and out the door. We were only there 30 min half way through our first drink to be told “you do...More"
130,"We were here for a special birthday celebration and although the staff at entry were pleasant enough, it was like a conveyor belt of people coming in. We were very excited to be here and looked forward to it for months. However as soon as...More"
131,"I booked Aqua for a family brunch for my husband’s birthday. I made a reservation 3 months before and requested a window seat.

When we arrived on the day, my husband’s sons were already seated but not at a window. I raised it with the...More"
132,"First time visit with friends.  The views over the city are stunning especially if you have a table next to the windows.  Be prepared for less lucky diners to come and have pictures taken next to your table.  

The food was of fine quality -...More"
133,"This is an email I sent following our visit and have yet to receive a response!

If I am honest, this was supposed to be the highlight of our anniversary trip to London as I’d never been before, but it was very disappointing.

We arrived...More"
134,"Beautiful place to visit. The views are spectacular and the staff is very kind and helpful. Although the plates were made up with extra care and looked pretty, I didn''t have a wauw experiency from the tastes. Afterwards some drinks in the chinese bar were...More"
135,"We have visited this restaurant recently and vere disappointed by the staff ripping the customers off the money. We have ordered a meal and a tap water. Instead, we were served with two (!) bottles of water, 0,5 L,  which cost £5.50 each! We did...More"
136,"The location Is suggestive and breathtaking, especially after the sunset. 
The food was abolutely sublime but the most special were the staff! 
Very attentive to satisfy promptly all our needs, very polite and professional. 
The cocktail choiches were Amazing and customized to our tastes. 
Andrea...More"
137,"What an amazing experience!
Me and my friends were celebrating a birthday and from the minute we entered the venue we had been spoiled by the lovely staff of Aqua Shard!
We had three courses meal and a bottle of wine.
The tried the cocktails...More"
138,"Booked the Peter Pan Afternoon Tea to celebrate my friends 30th birthday.

The greeting staff were very friendly and efficient, and the views over London were spectacular. We were also delighted to have been given a seat by the window so we could make the...More"
139,"Afternoon Tea. My experience at Aqua Shard was an experience of two halves.  One, the service was poor as in having to wait so long to be initally served obviously, noticed by staff as we were offered a glass of Prosecco to apologise, once our...More"
140,Extremely disappointed with what is supposed to be a high end restaurant with ‘over 25 different venues around the world’. The service was appauling and embarassing. My fiance had planned a proposal and said this in his reservation. When we arrived we were directed downstairs...More
141,"I visited this restaurant with my friends for my 70th birthday. The view is stunning and we had a lovely table by the windows. I had the eggs bene, beef and brownies and it was all delicious. The service from David Horvath was amazing -...More"
142,"Visited for brunch with big family group (11 people over 2 tables). It took 3 hours from arrival to leaving; we ate for approx 30 mins, and waited for food for approx 2.5 hours.

The music was really loud and the place is very echoey...More"
143,"We booked with a taster menu voucher that we got as a wedding present. We were seated, but then told that the taster menu was only available in the private dining room.  When we questioned this, we were told that our voucher had expired. We...More"
144,"Beautiful Restaurant and fantastic views. Restaurant staff not that organised and some could not even speak English, which is a problem when ordering off menu. Very expensive brunch with small glasses of wine.Food average on the breakfast brunch."
